Annual consolidated balance sheet of the Eurosystem ,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in EUR millions) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets,"Balance as at
31 December 1999","Balance as at
31 December 2000","Balance as at
31 December 2001","Balance as at
31 December 2002","Balance as at
31 December 2003","Balance as at
31 December 2004","Balance as at
31 December 2005","Balance as at
31 December 2006","Balance as at
31 December 2007","Balance as at
31 December 2008","Balance as at
31 December 2009","Balance as at
31 December 2010","Balance as at
31 December 2011","Balance as at
31 December 2012","Balance as at
31 December 2013","Balance as at
31 December 2014","Balance as at
31 December 2015",Balance as at 31 December 2016,Balance as at 31 December 2017,Balance as at 31 December 2018,Balance as at 31 December 2019,Balance as at 31 December 2020,Balance as at 31 December 2021,Balance as at 31 December 2022,Balance as at 31 December 2023,Balance as at 31 December 2024,Balance as at 31 December 2025
    5.1 General government,"56,470","53,353","44,970","41,123","34,106","35,968","34,189","45,166","38,115","83,282","120,495","71,685","65,590","95,341","65,871","36,742","59,295","114,887","168,947","216,070","209,692","516,173","590,383","436,541","212,789","122,023","102,418"
    5.2 Other liabilities,"5,292","3,694","6,307","5,074","5,759","6,219","7,573","8,208","8,069","7,794","9,235","8,107","14,137","40,312","25,237","27,368","82,595","105,873","117,449","122,598","102,077","94,957","166,680","128,041","91,071","81,826","113,310"
 6 Liabilities to non-euro area residents denominated in euro,"9,048","10,824","9,446","8,813","10,279","10,912","13,224","16,614","45,094","293,592","46,769","47,703","156,876","184,404","115,416","48,337","54,529","205,678","355,900","459,332","321,429","431,145","709,971","540,725","281,926","242,367","171,578"
 7 Liabilities to euro area residents denominated in foreign currency,927,806,"2,524","1,125",499,247,366,89,"2,490","5,723","4,032","1,995","4,546","3,629","4,589","1,558","2,803","3,644","3,831","4,331","7,934","7,815","14,106","11,683","16,382","11,274","16,161"
 8 Liabilities to non-euro area residents denominated in foreign currency,"11,904","12,414","20,227","18,588","11,205","10,679","8,405","12,621","15,553","10,258","9,616","14,346","9,027","6,226","2,998","4,753","3,677","9,301","11,254","11,016","7,408","3,924","2,729","4,753","4,513",603,"2,558"
"    8.1 Deposits, balances and other liabilities","11,904","12,414","20,227","18,588","11,205","10,679","8,405","12,621","15,553","10,258","9,616","14,346","9,027","6,226","2,998","4,753","3,677","9,301","11,254","11,016","7,408","3,924","2,729","4,753","4,513",603,"2,558"
    8.2 Liabilities arising from the credit facility under ERM II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 9 Counterpart of special drawing rights allocated by the IMF,"6,534","6,702","6,967","6,340","5,761","5,573","5,920","5,582","5,279","5,465","51,249","54,480","55,942","54,952","52,717","56,211","59,179","59,263","55,218","56,510","57,371","54,799","178,834","181,121","177,116","182,810","169,868"
 10 Other liabilities,"54,222","72,277","77,181","62,470","54,757","51,791","67,325","71,352","123,076","166,500","164,082","172,388","209,646","237,731","219,605","219,043","217,058","218,927","221,187","247,132","275,376","299,252","318,766","290,578","232,132","218,667","209,668"
 11 Revaluation accounts,"106,782","117,986","125,397","82,615","67,819","64,581","119,094","121,887","147,123","175,735","220,101","331,510","394,013","407,236","262,633","331,398","345,703","394,357","357,862","376,085","466,595","512,501","554,874","588,053","634,868","872,322","1,239,057"
 12 Capital and reserves,"55,249","57,921","63,342","61,538","59,844","58,237","61,562","66,157","67,101","71,200","69,884","74,464","77,389","82,511","86,459","90,153","93,385","95,777","98,005","100,426","103,193","105,497","108,895","116,174","101,012","81,148","36,935"
Total liabilities,"806,853","836,078","814,089","795,161","834,796","884,324","1,038,616","1,150,030","1,507,887","2,075,107","1,897,939","1,997,195","2,727,741","2,957,007","2,267,881","2,203,323","2,775,298","3,656,613","4,462,949","4,698,196","4,667,063","6,973,507","8,560,237","7,946,976","6,887,265","6,420,536","6,293,325"
