  Spain,762.725723,627.765848,406.616665,485.404507,194.932176,292.625755,342.62493,80.743205,32.818669,23.12174,309.048701,55.728246,13.484128,61.618136
  Sri Lanka,9.937255,3.438467,0.895002,2.514419,0.149927,0.601971,9.02885,0.920292,0.025404,0.010814,8.583658,0.643573,0.013403,0.003756
"  St Helena, Ascension and Tristan da Cunha",0.00252,0.046116,,0.0070,,,0.00252,0.039116,,,0.00252,0.039116,,
  St Lucia,0.446339,1.525654,0.029328,0.265068,0.029328,,0.416982,1.260554,0.011604,0.166557,0.405378,1.091993,0.000029,0.000032
  St Vincent and the Grenadines,0.397441,0.729354,,0.156697,,,0.397438,0.570451,0.126024,0.246653,0.271418,0.323795,0.000003,0.002206
  St Kitts and Nevis,0.47029,1.076256,0.039348,0.21291,0.039348,0.0010,0.430918,0.861026,0.009035,0.178927,0.421883,0.683099,0.000024,0.00232
  Sudan,2.963618,2.200809,0.437431,1.631715,0.0110,,2.525186,0.56726,0.0010,0.0544,1.646186,0.165854,0.001001,0.001834
  Suriname,0.52285,0.96088,0.000005,0.459552,,,0.521557,0.500098,,0.059285,0.521557,0.423362,0.001288,0.00123
  Sweden,378.013316,246.276496,255.174121,182.598496,159.236255,158.043157,115.371903,45.713627,35.323026,14.874905,79.879199,30.546004,7.467292,17.964373
  Switzerland,751.211055,978.094647,516.937287,658.560608,301.386334,242.711779,221.012848,264.509294,42.380968,91.899239,175.698053,165.56654,13.26092,55.024745
  Syria,0.228867,1.256322,0.010825,0.851629,0.0010,,0.21804,0.396447,,0.000301,0.21804,0.395188,0.000002,0.008246
  Tajikistan,0.802553,0.810894,0.011975,0.550244,,,0.790578,0.252127,,0.000008,0.790578,0.252119,,0.008523
  Tanzania,6.14554,4.318336,0.698718,3.020669,0.032821,0.229338,5.432781,1.291656,0.01154,0.021771,5.418241,1.242885,0.014041,0.006011
  Thailand,75.937819,45.975323,48.698968,22.812344,28.884106,9.51778,25.381263,22.399375,3.843679,5.13269,10.532224,16.909245,1.857588,0.763604
  East Timor,0.165108,0.961763,0.113522,0.705647,0.112081,0.334068,0.052586,0.095363,,0.000033,0.052586,0.09533,-0.0010,0.160753
  Togo,2.375491,0.61311,1.234361,0.278999,0.0210,0.166014,1.018045,0.309046,0.00895,0.024057,1.009095,0.284525,0.123085,0.025065
  Tonga,0.064881,0.142198,0.012815,0.131132,0.012754,0.000436,0.052066,0.011066,,0.00007,0.052066,0.010996,,
  Trinidad and Tobago,3.951198,5.81368,2.627195,2.645181,2.56092,0.063758,1.324592,3.160097,0.158014,0.925999,0.965607,2.13404,-0.000589,0.008402
  Tunisia,3.821591,4.2625,0.97491,2.647545,0.627122,0.166921,2.842455,1.238235,0.000115,0.027137,2.54334,1.15568,0.004226,0.37672
  Türkiye,145.888543,82.898085,73.334727,52.124824,14.999046,5.393971,71.78638,30.066301,8.695946,5.913941,46.669597,23.406606,0.767436,0.70696
  Turkmenistan,0.239362,29.149996,0.100263,29.096429,,0.0020,0.139099,0.047598,0.000727,0.000135,0.115057,0.046463,,0.005969
  Turks and Caicos Islands,0.588471,2.319187,0.200214,1.63275,0.193914,1.3000,0.388256,0.685332,0.073403,0.223613,0.310853,0.433837,0.000001,0.001105
  Tuvalu,0.000148,0.010335,,0.0070,,,0.000148,0.003334,,,0.000148,0.003334,,0.000001
  U.S. Miscellaneous Pacific Islands,0.0010,0.0290,,,,,0.0010,0.0290,,0.0290,0.0020,,,
  Uganda,5.24187,4.530272,0.648907,3.123069,0.115375,0.244734,4.587134,1.397917,0.082657,0.023969,4.486477,1.306542,0.005829,0.009286
  Ukraine,6.77348,19.389504,2.216111,15.443651,1.997633,2.629079,4.529367,3.732237,0.08373,0.069105,4.443637,3.648839,0.028002,0.213616
  United Arab Emirates,403.49616,405.968848,212.867721,213.573664,86.372342,68.442611,187.938342,189.94334,68.307098,51.671029,98.61409,119.854363,2.690097,2.451844
  United Kingdom,"6,737.686956","6,883.424502","3,604.179411","3,716.624678","2,513.549807","2,724.726783","2,274.45855","2,132.020393","1,793.385885","1,844.758594",452.240595,247.644018,859.048995,"1,034.779431"
  United States,"9,173.553085","5,535.568907","3,005.958327","2,220.566193","2,248.955385","1,611.053247","5,909.085906","2,713.377963","2,696.427021","2,349.514507","3,154.913636",343.518678,258.508852,601.624751
  Uruguay,9.047148,14.656374,2.724588,6.684047,2.203571,2.096311,6.271483,7.869479,1.476141,1.965418,4.558992,5.743216,0.051077,0.102848
  Uzbekistan,15.46195,13.171268,8.156323,10.162757,0.281995,0.0050,7.293568,2.98907,0.165554,0.763899,7.128014,2.225171,0.012059,0.019441
  Vanuatu,0.220984,0.698792,0.041486,0.258945,0.041172,0.052016,0.179491,0.436012,,0.045745,0.179491,0.300955,0.000007,0.003835
  Vatican City State,0.002696,0.535915,0.000031,0.237877,,,0.002524,0.297027,0.000066,0.053157,0.002458,0.242873,0.000141,0.001011
  Venezuela,5.707032,17.964088,2.324825,2.414239,0.011162,0.084058,3.043363,14.977021,0.606091,1.507981,1.692592,10.432563,0.338844,0.572828
  Vietnam,55.892991,32.582937,21.191426,29.793083,8.666955,11.002416,34.515065,2.735971,2.024503,0.126188,21.893623,2.571611,0.1865,0.053883
  British Virgin Islands,69.108722,110.605391,2.604571,1.389556,0.0410,0.194479,65.918603,107.401215,22.809103,21.335083,42.922374,85.193605,0.585548,1.81462
  Wallis and Futuna Islands,0.029706,0.039064,0.000444,0.021001,,0.0210,0.029262,0.018063,,,0.029262,0.018063,,
  Yemen,0.383996,0.780904,0.011464,0.482346,,,0.372523,0.296666,0.014553,0.000059,0.35797,0.285607,0.000009,0.001892
  Zambia,6.553333,2.852408,0.310017,1.700076,0.139412,0.416048,6.230998,1.149869,0.043988,0.004142,6.057599,0.957265,0.012318,0.002463
  Zimbabwe,0.519211,1.592865,0.07381,0.57508,0.054447,0.210592,0.445397,1.015902,,0.008148,0.436046,0.78783,0.000004,0.001883
  Czechoslovakia,,,,,,,,,,,,,,
  Residual former Czechoslovakia,,,,,,,,,,,,,,
  German Democratic Republic,,,,,,,,,,,,,,
  Netherlands Antilles,,,,,,,,,,,,,,
  Residual former Netherlands Antilles,,,,,,,,,,,,,,
  Serbia and Montenegro,,,,,,,,,,,,,,
  Residual former Serbia and Montenegro,0.023137,0.004463,0.000275,0.002456,,,0.022862,0.002007,,,0.005862,0.002007,,
  USSR (Soviet Union),,,,,,,,,,,,,,
  Residual former Soviet Union,,,,,,,,,,,,,,
  Yugoslavia,,,,,,,,,,,,,,
  Residual former Yugoslavia,,,,,,,,,,,,,,
  Residual developed countries,0.359474,0.125841,0.295309,-0.000002,0.019542,0.0010,0.064166,0.125841,,0.1230,0.064167,0.002843,-0.000001,0.000002
  Residual developing Africa and Middle East,0.725218,1.142852,0.132403,0.578334,0.1090,0.1530,0.594174,0.564512,,0.002467,0.000177,0.039046,-0.001359,0.000006
  Residual developing Asia and Pacific,0.620675,89.701291,0.007678,43.451867,0.195936,0.296307,0.612996,46.249424,,0.008868,0.462999,0.090968,0.000001,
  Residual developing Europe,78.480339,7.775188,77.448752,6.942878,3.229294,2.710764,1.031582,0.79552,0.003926,0.027793,0.609661,0.557736,0.000005,0.03679
  Residual developing Latin America and Caribbean,0.502997,0.029038,0.3030,0.941334,0.0120,0.0010,0.199996,0.028037,,0.000205,,0.001834,0.000001,-0.940333
  Residual offshore centres,15.547817,7.029107,-0.000005,0.001231,-0.0020,-0.0020,15.547819,7.027875,,,15.54782,7.027878,0.000003,0.000001
  Residual British Overseas Territories,0.232536,0.288896,0.062592,0.0010,,,0.169944,0.287896,0.166592,0.271237,0.003352,0.016659,,
  Residual West Indies UK,254.421054,208.367813,3.763656,2.206643,1.7030,0.412601,246.762866,206.068967,105.952683,89.865229,81.700572,47.347442,3.894532,0.092203
  International organisations,729.107448,328.131574,40.529304,30.025191,0.1690,0.1030,578.37004,262.95637,322.587451,191.908841,255.375191,64.210818,110.208104,35.150013
  Unallocated location,276.700328,"2,571.97079",143.093238,133.419563,714.815331,403.256658,70.305133,29.799183,20.079862,7.944698,57.446929,26.835504,63.301957,"2,408.752044"

,All sectors,,Bank sector,,,,Non-bank sector,,,,,,Unallocated by sector,
,,,Total,,Of which: Intragroup,,Total,,Of which: Non-bank financial,,Of which: Non-financial,,,
,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities
Counterparties in all countries,Q.S.C.A.TO1.A.5J.A.5A.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.5J.N.2025-Q3
  Afghanistan,Q.S.C.A.TO1.A.5J.A.5A.A.AF.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AF.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AF.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AF.N.2025-Q3,,Q.S.L.A.TO1.A.5J.A.5A.I.AF.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AF.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AF.N.2025-Q3,,Q.S.L.A.TO1.A.5J.A.5A.F.AF.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AF.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AF.N.2025-Q3,,Q.S.L.A.TO1.A.5J.A.5A.U.AF.N.2025-Q3
  Albania,Q.S.C.A.TO1.A.5J.A.5A.A.AL.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AL.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AL.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AL.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AL.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AL.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AL.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AL.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AL.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AL.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AL.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AL.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AL.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AL.N.2025-Q3
  Algeria,Q.S.C.A.TO1.A.5J.A.5A.A.DZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.DZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.DZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.DZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.DZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.DZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.DZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.DZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.DZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.DZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.DZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.DZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.DZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.DZ.N.2025-Q3
  Andorra,Q.S.C.A.TO1.A.5J.A.5A.A.AD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AD.N.2025-Q3
  Angola,Q.S.C.A.TO1.A.5J.A.5A.A.AO.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AO.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AO.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AO.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AO.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AO.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AO.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AO.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AO.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AO.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AO.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AO.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AO.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AO.N.2025-Q3
  Anguilla,Q.S.C.A.TO1.A.5J.A.5A.A.AI.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AI.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AI.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AI.N.2025-Q3,,,Q.S.C.A.TO1.A.5J.A.5A.N.AI.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AI.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AI.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AI.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AI.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AI.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AI.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AI.N.2025-Q3
  Antigua and Barbuda,Q.S.C.A.TO1.A.5J.A.5A.A.AG.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AG.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AG.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AG.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AG.N.2025-Q3,,Q.S.C.A.TO1.A.5J.A.5A.N.AG.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AG.N.2025-Q3,,Q.S.L.A.TO1.A.5J.A.5A.F.AG.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AG.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AG.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AG.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AG.N.2025-Q3
  Argentina,Q.S.C.A.TO1.A.5J.A.5A.A.AR.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AR.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AR.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AR.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AR.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AR.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AR.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AR.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AR.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AR.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AR.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AR.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AR.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AR.N.2025-Q3
  Armenia,Q.S.C.A.TO1.A.5J.A.5A.A.AM.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AM.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AM.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AM.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AM.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AM.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AM.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AM.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AM.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AM.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AM.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AM.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AM.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AM.N.2025-Q3
  Aruba,Q.S.C.A.TO1.A.5J.A.5A.A.AW.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AW.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AW.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AW.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AW.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AW.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AW.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AW.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AW.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AW.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AW.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AW.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AW.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AW.N.2025-Q3
  Australia,Q.S.C.A.TO1.A.5J.A.5A.A.AU.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AU.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AU.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AU.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AU.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AU.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AU.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AU.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AU.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AU.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AU.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AU.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AU.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AU.N.2025-Q3
  Austria,Q.S.C.A.TO1.A.5J.A.5A.A.AT.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AT.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AT.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AT.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AT.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AT.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AT.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AT.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AT.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AT.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AT.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AT.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AT.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AT.N.2025-Q3
  Azerbaijan,Q.S.C.A.TO1.A.5J.A.5A.A.AZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.AZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.AZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.AZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.AZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.AZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.AZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.AZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.AZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.AZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.AZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.AZ.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.AZ.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.AZ.N.2025-Q3
  The Bahamas,Q.S.C.A.TO1.A.5J.A.5A.A.BS.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.BS.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.BS.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.BS.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.BS.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.BS.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.BS.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.BS.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.BS.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.BS.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.BS.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.BS.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.BS.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.BS.N.2025-Q3
  Bahrain,Q.S.C.A.TO1.A.5J.A.5A.A.BH.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.BH.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.BH.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.BH.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.BH.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.BH.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.BH.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.BH.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.BH.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.BH.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.BH.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.BH.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.BH.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.BH.N.2025-Q3
  Bangladesh,Q.S.C.A.TO1.A.5J.A.5A.A.BD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.BD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.BD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.BD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.BD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.BD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.BD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.BD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.BD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.BD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.BD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.BD.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.BD.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.BD.N.2025-Q3
  Barbados,Q.S.C.A.TO1.A.5J.A.5A.A.BB.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.BB.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.BB.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.BB.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.BB.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.BB.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.BB.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.BB.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.BB.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.BB.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.BB.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.BB.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.BB.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.BB.N.2025-Q3
  Belarus,Q.S.C.A.TO1.A.5J.A.5A.A.BY.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.BY.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.BY.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.BY.N.2025-Q3,,Q.S.L.A.TO1.A.5J.A.5A.I.BY.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.BY.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.BY.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.BY.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.BY.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.BY.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.BY.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.BY.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.BY.N.2025-Q3
